Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
2442,Lot of 2: Bisque Head Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Bisque_Head_Dolls_______________________-LOT144338.aspx,https://auctions.morphyauctions.com/ItemImages/000144/144338a_sm.jpeg,1,12,24,50,80,144338a_
2672,Lot of 7: Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_7__Artist_Dolls____________________________-LOT117268.aspx,https://auctions.morphyauctions.com/ItemImages/000117/117268a_sm.jpeg,1,25,24,100,200,117268a_
2464,'Lot of 2: Boyd''s Santa Bear & Cloth.',http://auctions.morphyauctions.com/Lot_of_2__Boyd_s_Santa_Bear___Cloth_______________-LOT143158.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143158a_sm.jpeg,1,5,24,20,50,143158a_
2730,Lot of 2: German Dolls.,http://auctions.morphyauctions.com/Lot_of_2__German_Dolls____________________________-LOT110900.aspx,https://auctions.morphyauctions.com/ItemImages/000110/110900a_sm.jpeg,1,10,24,40,80,110900a_
2541,Lot of 9: Assorted Composition & Plastic Dolls.,http://auctions.morphyauctions.com/Lot_of_9__Assorted_Composition___Plastic_Dolls____-LOT135869.aspx,https://auctions.morphyauctions.com/ItemImages/000135/135869a_sm.jpeg,2,6,24,25,50,135869a_
2673,Lot of 6: Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_6__Artist_Dolls____________________________-LOT117269.aspx,https://auctions.morphyauctions.com/ItemImages/000117/117269a_sm.jpeg,1,25,24,100,200,117269a_
2422,Lot of 2: Cloth Body Baby Doll & Porcelain Baby.,http://auctions.morphyauctions.com/Lot_of_2__Cloth_Body_Baby_Doll___Porcelain_Baby___-LOT144334.aspx,https://auctions.morphyauctions.com/ItemImages/000144/144334a_sm.jpeg,2,6,24,25,50,144334a_
2493,Lot of 5: Vinyl Shirley Temple Dolls.,http://auctions.morphyauctions.com/Lot_of_5__Vinyl_Shirley_Temple_Dolls______________-LOT143086.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143086a_sm.jpeg,1,25,24,100,200,143086a_
2774,Lot of 3: Assorted Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Assorted_Dolls__________________________-LOT110903.aspx,https://auctions.morphyauctions.com/ItemImages/000110/110903a_sm.jpeg,2,10,24,40,80,110903a_
2512,Lot of 4: Vintage Bride Dolls.,http://auctions.morphyauctions.com/Lot_of_4__Vintage_Bride_Dolls_____________________-LOT143098.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143098a_sm.jpeg,1,12,24,50,80,143098a_
2871,Lot of 12: Glass Domes & Cases.,http://auctions.morphyauctions.com/Lot_of_12__Glass_Domes___Cases____________________-LOT112138.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112138a_sm.jpeg,2,10,24,40,80,112138a_
2870,Lot of 6: Doll Books & Accessories.,http://auctions.morphyauctions.com/Lot_of_6__Doll_Books___Accessories________________-LOT112121.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112121a_sm.jpeg,1,17,24,70,125,112121a_
3205,Lot of Assorted Miniature Doll Furniture.,http://auctions.morphyauctions.com/Lot_of_Assorted_Miniature_Doll_Furniture__________-LOT107285.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107285a_sm.jpeg,1,37,24,150,300,107285a_
3202,'"""''""""Lot of 2: """"""""Don''''t Be Greedy"""""""" Bisque Figurines.""""''"""',http://auctions.morphyauctions.com/Lot_of_2___Don_t_Be_Greedy__Bisque_Figurines______-LOT105440.aspx,https://auctions.morphyauctions.com/ItemImages/000105/105440a_sm.jpeg,2,10,24,40,60,105440a_
3157,Lot of 4: Artist Originals by La Motte.,http://auctions.morphyauctions.com/Lot_of_4__Artist_Originals_by_La_Motte____________-LOT107356.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107356a_sm.jpeg,1,20,24,80,150,107356a_
2832,Lot of 5: Yieldhouse Dolls & Kits.,http://auctions.morphyauctions.com/Lot_of_5__Yieldhouse_Dolls___Kits_________________-LOT112157.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112157a_sm.jpeg,1,12,24,50,80,112157a_
2476,Lot of 2: Vintage Metal Doll Furniture.,http://auctions.morphyauctions.com/Lot_of_2__Vintage_Metal_Doll_Furniture____________-LOT143146.aspx,https://auctions.morphyauctions.com/ItemImages/000143/143146a_sm.jpeg,1,2,24,10,30,143146a_
3145,Artist Reproduction All Bisque Doll.,http://auctions.morphyauctions.com/Artist_Reproduction_All_Bisque_Doll_______________-LOT107300.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107300a_sm.jpeg,1,20,24,80,125,107300a_
3143,Lot of Baby Bodies & Parts For Bisque Heads.,http://auctions.morphyauctions.com/Lot_of_Baby_Bodies___Parts_For_Bisque_Heads_______-LOT107289.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107289a_sm.jpeg,1,17,24,70,100,107289a_
3138,Lot of 5: Bisque Artist Dolls.,http://auctions.morphyauctions.com/Lot_of_5__Bisque_Artist_Dolls_____________________-LOT107279.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107279a_sm.jpeg,1,12,24,50,100,107279a_
3137,Lot of 4: Artist Bisque Head Dolls.,http://auctions.morphyauctions.com/Lot_of_4__Artist_Bisque_Head_Dolls________________-LOT107278.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107278a_sm.jpeg,1,17,24,70,100,107278a_
2831,Lot of 3: Yield House Dressed Dolls from Kits.,http://auctions.morphyauctions.com/Lot_of_3__Yield_House_Dressed_Dolls_from_Kits_____-LOT112156.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112156a_sm.jpeg,1,10,24,40,60,112156a_
3110,German Ball Jointed Body.,http://auctions.morphyauctions.com/German_Ball_Jointed_Body__________________________-LOT107370.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107370a_sm.jpeg,1,12,24,50,100,107370a_
3048,Lot of 6: Assorted Dolls.,http://auctions.morphyauctions.com/Lot_of_6__Assorted_Dolls__________________________-LOT106650.aspx,https://auctions.morphyauctions.com/ItemImages/000106/106650a_sm.jpeg,1,20,24,80,125,106650a_
2622,Lot of Santa Items.,http://auctions.morphyauctions.com/Lot_of_Santa_Items________________________________-LOT114516.aspx,https://auctions.morphyauctions.com/ItemImages/000114/114516a_sm.jpeg,1,25,24,100,200,114516a_
2819,Lot of 3: Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Dolls___________________________________-LOT112489.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112489a_sm.jpeg,1,7,24,30,60,112489a_
2724,Indonesian Puppet & Japanese Doll.,http://auctions.morphyauctions.com/Indonesian_Puppet___Japanese_Doll_________________-LOT117250.aspx,https://auctions.morphyauctions.com/ItemImages/000117/117250a_sm.jpeg,1,5,24.2,20,50,117250a_
3201,Lot of 7: Contemporary Dolls.,http://auctions.morphyauctions.com/Lot_of_7__Contemporary_Dolls______________________-LOT108102.aspx,https://auctions.morphyauctions.com/ItemImages/000108/108102a_sm.jpeg,1,12,24.2,50,100,108102a_
2623,Lot of 5: Assorted Holiday Items.,http://auctions.morphyauctions.com/Lot_of_5__Assorted_Holiday_Items__________________-LOT114518.aspx,https://auctions.morphyauctions.com/ItemImages/000114/114518a_sm.jpeg,1,25,24.6,100,150,114518a_
2872,Lot of 5: Dollhouse Dolls & Dollhouse Accessories,http://auctions.morphyauctions.com/Lot_of_5__Dollhouse_Dolls___Dollhouse_Accessories_-LOT112154.aspx,https://auctions.morphyauctions.com/ItemImages/000112/112154a_sm.jpeg,1,12,24.6,50,80,112154a_
2984,Lot of 6: Kewpie & Skootles Dolls.,http://auctions.morphyauctions.com/Lot_of_6__Kewpie___Skootles_Dolls_________________-LOT106656.aspx,https://auctions.morphyauctions.com/ItemImages/000106/106656a_sm.jpeg,1,20,24.6,80,150,106656a_
3212,Winnie The Walking & Talking Doll In Box.,http://auctions.morphyauctions.com/Winnie_The_Walking___Talking_Doll_In_Box__________-LOT106247.aspx,https://auctions.morphyauctions.com/ItemImages/000106/106247a_sm.jpeg,1,17,24.6,70,150,106247a_
2683,Lot of 3: Collectible Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Collectible_Dolls_______________________-LOT117278.aspx,https://auctions.morphyauctions.com/ItemImages/000117/117278a_sm.jpeg,1,25,24.6,100,200,117278a_
3041,Lot of 4: Effanbee Movie Star Dolls.,http://auctions.morphyauctions.com/Lot_of_4__Effanbee_Movie_Star_Dolls_______________-LOT106636.aspx,https://auctions.morphyauctions.com/ItemImages/000106/106636a_sm.jpeg,1,20,24.6,80,150,106636a_
2729,Lot of 2: Papier Mache Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Papier_Mache_Dolls______________________-LOT110902.aspx,https://auctions.morphyauctions.com/ItemImages/000110/110902a_sm.jpeg,1,20,24.6,80,150,110902a_
4004,Painted Red Folk Art Chair and 3 Cradles.,http://auctions.morphyauctions.com/Painted_Red_Folk_Art_Chair_and_3_Cradles__________-LOT31928.aspx,https://auctions.morphyauctions.com/ItemImages/000031/31928a_sm.jpeg,1,37,28.75,150,200,31928a_
4151,Lot of 2: Barbie Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Barbie_Dolls____________________________-LOT30900.aspx,https://auctions.morphyauctions.com/ItemImages/000030/30900a_sm.jpeg,1,31,28.75,125,150,30900a_
4242,Merrill Pink Prom Twins Paper Dolls Set.,http://auctions.morphyauctions.com/Merrill_Pink_Prom_Twins_Paper_Dolls_Set___________-LOT33049.aspx,https://auctions.morphyauctions.com/ItemImages/000033/33049a_sm.jpeg,1,25,28.75,100,200,33049a_
4459,Doll Reclining/Fainting Chair.,http://auctions.morphyauctions.com/Doll_Reclining_Fainting_Chair_____________________-LOT24876.aspx,https://auctions.morphyauctions.com/ItemImages/000024/24876a_sm.jpeg,1,25,28.75,100,200,24876a_
