Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
3940,Bisque Head Kammer & Reinhardt Walking Doll.,http://auctions.morphyauctions.com/Bisque_Head_Kammer___Reinhardt_Walking_Doll_______-LOT37298.aspx,https://auctions.morphyauctions.com/ItemImages/000037/37298a_sm.jpeg,3,75,263.25,300,500,37298a_
4150,Lot of Barbie Family Male Dolls.,http://auctions.morphyauctions.com/Lot_of_Barbie_Family_Male_Dolls___________________-LOT30899.aspx,https://auctions.morphyauctions.com/ItemImages/000030/30899a_sm.jpeg,1,50,263.25,200,300,30899a_
3932,Lot of 17 Doll Wigs.,http://auctions.morphyauctions.com/Lot_of_17_Doll_Wigs_______________________________-LOT83928.aspx,https://auctions.morphyauctions.com/ItemImages/000083/83928a_sm.jpeg,1,50,265.5,200,400,83928a_
3543,Victorian Wicker Work Basket on Stand.,http://auctions.morphyauctions.com/Victorian_Wicker_Work_Basket_on_Stand_____________-LOT92591.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92591a_sm.jpeg,2,50,265.5,200,400,92591a_
3796,Lot of 3 Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_3_Bisque_Dolls_____________________________-LOT78948.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78948a_sm.jpeg,1,50,265.5,200,300,78948a_
3598,Lot of 2 German Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2_German_Bisque_Dolls______________________-LOT78915.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78915a_sm.jpeg,2,75,265.5,300,500,78915a_
2087,Rare German Character Toddler.,http://auctions.morphyauctions.com/Rare_German_Character_Toddler_____________________-LOT168786.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168786a_sm.jpeg,1,75,265.5,300,500,168786a_
3919,Dainty Sonneberg Taulfing.,http://auctions.morphyauctions.com/Dainty_Sonneberg_Taulfing_________________________-LOT78875.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78875a_sm.jpeg,2,75,265.5,300,500,78875a_
3474,Lot of Doll Accessories & Toys.,http://auctions.morphyauctions.com/Lot_of_Doll_Accessories___Toys____________________-LOT92503.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92503a_sm.jpeg,2,50,265.5,200,300,92503a_
2139,Lovely All-Bisque Mignonnette Doll.,http://auctions.morphyauctions.com/Lovely_All_Bisque_Mignonnette_Doll________________-LOT175338.aspx,https://auctions.morphyauctions.com/ItemImages/000175/175338a_sm.jpeg,1,200,265.5,800,1200,175338a_
3663,Darling German Bisque Character Baby.,http://auctions.morphyauctions.com/Darling_German_Bisque_Character_Baby______________-LOT82755.aspx,https://auctions.morphyauctions.com/ItemImages/000082/82755a_sm.jpeg,1,62,265.5,250,400,82755a_
3519,Lot of 2: German Bisque Dolls.,http://auctions.morphyauctions.com/Lot_of_2__German_Bisque_Dolls_____________________-LOT92496.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92496a_sm.jpeg,1,100,265.5,400,600,92496a_
3661,Adorable German Bisque Googly Doll.,http://auctions.morphyauctions.com/Adorable_German_Bisque_Googly_Doll________________-LOT82566.aspx,https://auctions.morphyauctions.com/ItemImages/000082/82566a_sm.jpeg,2,50,265.5,200,400,82566a_
3779,Lot of Dolls and Accessories.,http://auctions.morphyauctions.com/Lot_of_Dolls_and_Accessories______________________-LOT82740.aspx,https://auctions.morphyauctions.com/ItemImages/000082/82740a_sm.jpeg,2,50,265.5,200,400,82740a_
3893,Rare German Bisque Character Doll.,http://auctions.morphyauctions.com/Rare_German_Bisque_Character_Doll_________________-LOT78870.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78870a_sm.jpeg,2,75,265.5,300,500,78870a_
1954,Large Bergmann Child Doll.,http://auctions.morphyauctions.com/Large_Bergmann_Child_Doll_________________________-LOT168806.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168806a_sm.jpeg,1,50,265.5,200,400,168806a_
3793,German Bisque Child Doll.,http://auctions.morphyauctions.com/German_Bisque_Child_Doll__________________________-LOT78864.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78864a_sm.jpeg,3,50,265.5,200,300,78864a_
3245,Lot of 2: Bye-Lo Baby Dolls.,http://auctions.morphyauctions.com/Lot_of_2__Bye_Lo_Baby_Dolls_______________________-LOT92495.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92495a_sm.jpeg,2,50,265.5,200,400,92495a_
2285,Classic Kestner Character Baby Doll.,http://auctions.morphyauctions.com/Classic_Kestner_Character_Baby_Doll_______________-LOT168918.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168918a_sm.jpeg,2,50,265.5,200,400,168918a_
3574,Set of Schoenhut Clown & Donkey Figures.,http://auctions.morphyauctions.com/Set_of_Schoenhut_Clown___Donkey_Figures___________-LOT79971.aspx,https://auctions.morphyauctions.com/ItemImages/000079/79971a_sm.jpeg,2,62,265.5,250,500,79971a_
3436,Large German Bisque Child Doll.,http://auctions.morphyauctions.com/Large_German_Bisque_Child_Doll____________________-LOT92566.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92566a_sm.jpeg,2,75,265.5,300,500,92566a_
3830,Pair of Artist Bébé Brus.,http://auctions.morphyauctions.com/Pair_of_Artist_B_b__Brus__________________________-LOT78919.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78919a_sm.jpeg,2,50,265.5,200,400,78919a_
2284,Lot Of 8: All-Bisque Dolls.,http://auctions.morphyauctions.com/Lot_Of_8__All_Bisque_Dolls________________________-LOT175378.aspx,https://auctions.morphyauctions.com/ItemImages/000175/175378a_sm.jpeg,1,50,265.5,200,400,175378a_
3803,Lovely H. Handwerck Child Doll.,http://auctions.morphyauctions.com/Lovely_H__Handwerck_Child_Doll____________________-LOT78871.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78871a_sm.jpeg,2,75,265.5,300,500,78871a_
3744,German Bisque Figurine.,http://auctions.morphyauctions.com/German_Bisque_Figurine____________________________-LOT76928.aspx,https://auctions.morphyauctions.com/ItemImages/000076/76928a_sm.jpeg,3,100,265.5,400,600,76928a_
2282,Lot Of 2: German Bisque Dolls.,http://auctions.morphyauctions.com/Lot_Of_2__German_Bisque_Dolls_____________________-LOT168895.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168895a_sm.jpeg,1,62,265.5,250,450,168895a_
3108,Lot of 3: German Ball Joint Bodies.,http://auctions.morphyauctions.com/Lot_of_3__German_Ball_Joint_Bodies________________-LOT107367.aspx,https://auctions.morphyauctions.com/ItemImages/000107/107367a_sm.jpeg,1,62,265.5,250,400,107367a_
2018,Lot Of 3: Bye-Lo Baby Dolls.,http://auctions.morphyauctions.com/Lot_Of_3__Bye_Lo_Baby_Dolls_______________________-LOT168855.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168855a_sm.jpeg,2,75,265.5,300,500,168855a_
3319,Pretty German Child Doll.,http://auctions.morphyauctions.com/Pretty_German_Child_Doll__________________________-LOT85525.aspx,https://auctions.morphyauctions.com/ItemImages/000085/85525a_sm.jpeg,2,62,265.5,250,450,85525a_
2194,Smiling Kestner Character Doll.,http://auctions.morphyauctions.com/Smiling_Kestner_Character_Doll____________________-LOT168611.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168611a_sm.jpeg,1,50,265.5,200,400,168611a_
4012,Ideal Flossy Flirt in Original Box.,http://auctions.morphyauctions.com/Ideal_Flossy_Flirt_in_Original_Box________________-LOT31933.aspx,https://auctions.morphyauctions.com/ItemImages/000031/31933a_sm.jpeg,2,50,265.5,200,250,31933a_
2207,Pair of German Bisque Figurines.,http://auctions.morphyauctions.com/Pair_of_German_Bisque_Figurines___________________-LOT168445.aspx,https://auctions.morphyauctions.com/ItemImages/000168/168445a_sm.jpeg,1,37,265.5,150,300,168445a_
