Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
4450,F.G. Poupee Peau Fashion Lady.,http://auctions.morphyauctions.com/F_G__Poupee_Peau_Fashion_Lady_____________________-LOT26175.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26175a_sm.jpeg,3,300,1800,1200,1500,26175a_
3876,Pretty Belton-Type Child Doll.,http://auctions.morphyauctions.com/Pretty_Belton_Type_Child_Doll_____________________-LOT78897.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78897a_sm.jpeg,2,200,1800,800,1200,78897a_
955,"13-1/2"" Early French Fashion.",http://auctions.morphyauctions.com/13_1_2__Early_French_Fashion______________________-LOT234508.aspx,https://auctions.morphyauctions.com/ItemImages/000234/16241065_1_sm.jpeg,27,250,1800,1000,2000,16241065_
906,Impressive French Steiner Doll.,http://auctions.morphyauctions.com/Impressive_French_Steiner_Doll__-LOT237777.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240512_1_sm.jpeg,14,650,1800,2500,4500,16240512_
77,"Large 28-1/2"" French Fashion with Unusual Attributes.",http://auctions.morphyauctions.com/Large_28_1_2__French_Fashion_with_Unusual_Attribut-LOT449380.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190790_1_sm.jpeg,4,1300,1800,2500,3500,18190790_
1309,French Jumeau Bébé,http://auctions.morphyauctions.com/French_Jumeau_B_b_________________________________-LOT212923.aspx,https://auctions.morphyauctions.com/ItemImages/000212/212923a_sm.jpeg,,450,1800,1800,2800,212923a_
1685,Dimpled Heubach Character Doll.,http://auctions.morphyauctions.com/Dimpled_Heubach_Character_Doll____________________-LOT182688.aspx,https://auctions.morphyauctions.com/ItemImages/000182/182688a_sm.jpeg,3,200,1800,800,1200,182688a_
508,French All-Bisque Mignonette Doll.,http://auctions.morphyauctions.com/French_All_Bisque_Mignonette_Doll__-LOT246293.aspx,https://auctions.morphyauctions.com/ItemImages/000246/16320453_1_sm.jpeg,23,375,1800,1500,2500,16320453_
1305,French “Bébé Française”,http://auctions.morphyauctions.com/French__B_b__Fran_aise____________________________-LOT212930.aspx,https://auctions.morphyauctions.com/ItemImages/000212/212930a_sm.jpeg,,450,1800,1800,2800,212930a_
1845,Black Americana Wind-Up Doll With Guitar.,http://auctions.morphyauctions.com/Black_Americana_Wind_Up_Doll_With_Guitar__________-LOT184917.aspx,https://auctions.morphyauctions.com/ItemImages/000184/184917a_sm.jpeg,1,375,1830,1500,2500,184917a_
1313,Bisque Head Blonde in Black & Red Dress.,http://auctions.morphyauctions.com/Bisque_Head_Blonde_in_Black___Red_Dress___________-LOT212988.aspx,https://auctions.morphyauctions.com/ItemImages/000212/212988a_sm.jpeg,,0,1830,,,212988a_
1882,Elegant S & H Lady Doll.,http://auctions.morphyauctions.com/Elegant_S___H_Lady_Doll___________________________-LOT183012.aspx,https://auctions.morphyauctions.com/ItemImages/000183/183012a_sm.jpeg,1,200,1830,800,1200,183012a_
4277,Just Me Character.,http://auctions.morphyauctions.com/Just_Me_Character_________________________________-LOT26097.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26097a_sm.jpeg,6,200,1840,800,1000,26097a_
4084,Tete Jumeau Bebe Doll.,http://auctions.morphyauctions.com/Tete_Jumeau_Bebe_Doll_____________________________-LOT31935.aspx,https://auctions.morphyauctions.com/ItemImages/000031/31935a_sm.jpeg,1,200,1840,800,900,31935a_
3948,Rare and Lovely Bisque COD 1469 Lady Doll.,http://auctions.morphyauctions.com/Rare_and_Lovely_Bisque_COD_1469_Lady_Doll_________-LOT37301.aspx,https://auctions.morphyauctions.com/ItemImages/000037/37301a_sm.jpeg,1,450,1840,1800,2500,37301a_
4088,Large 1907 Jumeau Bebe Child Doll.,http://auctions.morphyauctions.com/Large_1907_Jumeau_Bebe_Child_Doll_________________-LOT31960.aspx,https://auctions.morphyauctions.com/ItemImages/000031/31960a_sm.jpeg,2,350,1840,1400,1600,31960a_
223,"""Uncle Sam"" Googly.",http://auctions.morphyauctions.com/_Uncle_Sam__Googly_-LOT287501.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070770_1_sm.jpeg,17,475,1845,950,1250,18070770_
602,Very Nice Jumeau Bébé.,http://auctions.morphyauctions.com/Very_Nice_Jumeau_B_b__-LOT249191.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16320914_1_sm.jpeg,14,375,1845,1500,2500,16320914_
569,Wood Bodied Bru Fashion.,http://auctions.morphyauctions.com/Wood_Bodied_Bru_Fashion_-LOT249381.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16321010_1_sm.jpeg,12,250,1845,1000,1500,16321010_
974,Sonnenberg Child Doll.,http://auctions.morphyauctions.com/Sonnenberg_Child_Doll_____________________________-LOT234482.aspx,https://auctions.morphyauctions.com/ItemImages/000234/16241050_1_sm.jpeg,22,375,1845,1500,2000,16241050_
963,"16"" Bru Fashion.",http://auctions.morphyauctions.com/16__Bru_Fashion___________________________________-LOT234484.aspx,https://auctions.morphyauctions.com/ItemImages/000234/16241052_1_sm.jpeg,7,650,1845,2500,3500,16241052_
