Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
170,Lot of 18: German Carl Horn Tiny Crochet Dolls in Case.,http://auctions.morphyauctions.com/Lot_of_18__German_Carl_Horn_Tiny_Crochet_Dolls_in_-LOT449048.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190715_1_sm.jpeg,9,300,1020,600,900,18190715_
1581,Impressive French Presentation Case.,http://auctions.morphyauctions.com/Impressive_French_Presentation_Case_______________-LOT203743.aspx,https://auctions.morphyauctions.com/ItemImages/000203/203743a_sm.jpeg,2,112,1020,450,650,203743a_
1123,Pair of Vintage Hard Plastic Mary Hoyer Gigi Dolls,http://auctions.morphyauctions.com/Pair_of_Vintage_Hard_Plastic_Mary_Hoyer_Gigi_Dolls-LOT225589.aspx,https://auctions.morphyauctions.com/ItemImages/000225/225589a_sm.jpeg,1,100,1020,400,600,225589a_
150,Early Pouty Kestner All Bisque with Black Strap Boots.,http://auctions.morphyauctions.com/Early_Pouty_Kestner_All_Bisque_with_Black_Strap_Bo-LOT449075.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190739_1_sm.jpeg,16,325,1020,650,950,18190739_
325,Lot of 2: French RD Walking Doll with a DEP Rubber Stamp Tete Jumeau.,http://auctions.morphyauctions.com/Lot_of_2__French_RD_Walking_Doll_with_a_DEP_Rubber-LOT275583.aspx,https://auctions.morphyauctions.com/ItemImages/000275/17220268_1_sm.jpeg,24,100,1020,400,600,17220268_
310,"""18"""" F.G. French Fashion Bebe.""",http://auctions.morphyauctions.com/18__F_G__French_Fashion_Bebe_-LOT275546.aspx,https://auctions.morphyauctions.com/ItemImages/000275/17220228_1_sm.jpeg,13,400,1020,1650,2250,17220228_
843,Kuhnlenz Black Doll.,http://auctions.morphyauctions.com/Kuhnlenz_Black_Doll_______________________________-LOT238583.aspx,https://auctions.morphyauctions.com/ItemImages/000238/16240687_1_sm.jpeg,24,150,1020,600,900,16240687_
787,French R.D. Bébé Doll.,http://auctions.morphyauctions.com/French_R_D__B_b__Doll_____________________________-LOT237913.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240605_1_sm.jpeg,9,500,1020,2000,3000,16240605_
145,Kestner All Bisque Doll with Brown Heeled Shoes.,http://auctions.morphyauctions.com/Kestner_All_Bisque_Doll_with_Brown_Heeled_Shoes_-LOT449061.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190727_1_sm.jpeg,15,350,1020,700,1000,18190727_
525,S & H 886 All-Bisque Doll.,http://auctions.morphyauctions.com/S___H_886_All_Bisque_Doll_-LOT246302.aspx,https://auctions.morphyauctions.com/ItemImages/000246/16320462_1_sm.jpeg,16,250,1020,1000,2000,16320462_
4261,Lenci 300 Series Doll.,http://auctions.morphyauctions.com/Lenci_300_Series_Doll_____________________________-LOT23268.aspx,https://auctions.morphyauctions.com/ItemImages/000023/23268a_sm.jpeg,3,250,1020,1000,1200,23268a_
1788,Elegant Kestner “Gibson Girl” Doll.,http://auctions.morphyauctions.com/Elegant_Kestner__Gibson_Girl__Doll________________-LOT183022.aspx,https://auctions.morphyauctions.com/ItemImages/000183/183022a_sm.jpeg,1,300,1020,1200,1800,183022a_
84,"""""""Theroude"""" Semi-Mechanical Lady With Flowers.""",http://auctions.morphyauctions.com/_Theroude__Semi_Mechanical_Lady_With_Flowers_-LOT451162.aspx,https://auctions.morphyauctions.com/ItemImages/000451/18191182_1_sm.jpeg,9,500,1020,1000,1500,18191182_
970,Early German Child Doll.,http://auctions.morphyauctions.com/Early_German_Child_Doll___________________________-LOT234547.aspx,https://auctions.morphyauctions.com/ItemImages/000234/16241077_1_sm.jpeg,22,200,1020,800,1500,16241077_
3995,Early Steiff Mohair Bear.,http://auctions.morphyauctions.com/Early_Steiff_Mohair_Bear__________________________-LOT31940.aspx,https://auctions.morphyauctions.com/ItemImages/000031/31940a_sm.jpeg,2,100,1035,400,500,31940a_
